PrimarySupervisor,CreatedDate,JobType,Supervisee,Supervisor,Creator,Term,Positionc,Hour,Form_ID,start,endD,note
,2020-03-10 12:59:44.163000000,Primary,B00743717,B00257828,butlerj,Fall 2020,S85263,15,22680,2020-08-18 00:00:00,,
,2020-03-10 14:29:08.133000000,Primary,B00752530,B00757917,riddellt,Summer 2020,S51111,130,22681,2020-05-04 00:00:00,,Not on list -AB
,2020-03-11 10:15:25.170000000,Primary,B00752836,B00734408,glenna,Fall 2020,S09317,10,22687,2020-08-18 00:00:00,,
,2020-03-11 10:16:36.893000000,Primary,B00755152,B00734408,glenna,Fall 2020,S09317,10,22688,2020-08-18 00:00:00,,
,2020-03-11 10:18:11.147000000,Primary,B00725769,B00734408,glenna,Fall 2020,S09318,10,22690,2020-08-18 00:00:00,,
,2020-03-11 10:21:20.313000000,Primary,B00752017,B00734408,glenna,Fall 2020,S09317,10,22694,2020-08-18 00:00:00,,
,2020-03-11 10:23:15.673000000,Primary,B00755513,B00734408,glenna,Fall 2020,S09317,10,22696,2020-08-18 00:00:00,,
,2020-03-11 10:28:52.467000000,Primary,B00735888,B00734408,glenna,Fall 2020,S09317,10,22700,2020-08-18 00:00:00,,
,2020-03-11 10:31:21.210000000,Primary,B00735726,B00734408,glenna,Fall 2020,S09316,10,22701,2020-08-18 00:00:00,,
,2020-03-11 10:31:47.370000000,Primary,B00754700,B00733494,carringers,Summer 2020,S81312,10,22702,2020-06-08 00:00:00,,Not on list -AB
,2020-03-11 11:54:44.220000000,Primary,B00735795,B00433685,stokese,Fall 2020,S85287,10,22704,2020-08-18 00:00:00,,Remote Work Request 
Remote pending - sw
,2020-03-11 14:34:13.983000000,Primary,B00759136,B00415031,hinklec,Summer 2020,S05320,460,22705,2020-05-04 00:00:00,,Not on list -AB
,2020-03-11 14:35:35.900000000,Primary,B00759136,B00415031,hinklec,Fall 2020,S07102,10,22706,2020-08-18 00:00:00,,
,2020-03-11 16:21:45.323000000,Primary,B00735967,B00670814,davisrosenbaums,Fall 2020,S55214,10,22709,2020-08-18 00:00:00,,
,2020-03-11 16:23:12.703000000,Primary,B00738124,B00670814,davisrosenbaums,Fall 2020,S55224,10,22710,2020-08-18 00:00:00,,
,2020-03-11 16:26:26.973000000,Primary,B00732576,B00670814,davisrosenbaums,Summer 2020,S55214,175,22711,2020-05-04 00:00:00,,Not on list -AB
,2020-03-11 16:28:01.123000000,Primary,B00735027,B00670814,davisrosenbaums,Fall 2020,S55223,10,22712,2020-08-18 00:00:00,,
,2020-03-11 16:39:49.950000000,Primary,B00735967,B00670814,davisrosenbaums,Summer 2020,S55214,100,22713,2020-05-04 00:00:00,,Not on list -AB
,2020-03-12 10:16:21.973000000,Primary,B00744009,B00749871,anibuezem,Fall 2020,S73057,10,22718,2020-08-18 00:00:00,,
,2020-03-12 13:19:40.437000000,Primary,B00751999,B00196055,broomfields,Fall 2020,S39314,10,22719,2020-08-18 00:00:00,,Remote pending - sw
,2020-03-12 14:26:05.877000000,Primary,B00756857,B00089852,hochj,Fall 2020,S85246,10,22721,2020-08-18 00:00:00,,
,2020-03-12 14:55:39.267000000,Primary,B00727350,B00415031,hinklec,Fall 2020,S07103,10,22723,2020-08-18 00:00:00,,
,2020-03-12 16:20:58.727000000,Primary,B00756905,B00319655,howardja,Fall 2020,S29117,10,22724,2020-08-18 00:00:00,,
,2020-03-13 10:18:55.943000000,Primary,B00750833,B00079082,lynchj,Fall 2020,S85280,10,22725,2020-08-18 00:00:00,,
,2020-03-13 10:19:28.577000000,Primary,B00738953,B00079082,lynchj,Fall 2020,S85281,10,22726,2020-08-18 00:00:00,,
,2020-03-13 10:19:55.833000000,Primary,B00744035,B00079082,lynchj,Fall 2020,S85280,10,22727,2020-08-18 00:00:00,,
,2020-03-13 10:20:56.270000000,Primary,B00756751,B00079082,lynchj,Fall 2020,S85281,10,22729,2020-08-18 00:00:00,,
,2020-03-13 10:22:39.207000000,Primary,B00744040,B00079082,lynchj,Fall 2020,S85281,10,22732,2020-08-18 00:00:00,,
,2020-03-13 10:31:43.803000000,Primary,B00734362,B00079082,lynchj,Fall 2020,S85281,10,22734,2020-08-18 00:00:00,,remote pending AB
,2020-03-13 11:13:55.187000000,Primary,B00752841,B00215935,mitchells,Fall 2020,S33342,10,22735,2020-08-18 00:00:00,,
,2020-03-13 13:17:02.497000000,Primary,B00746515,B00079082,lynchj,Fall 2020,S85281,10,22738,2020-08-18 00:00:00,,
,2020-03-13 13:19:57.640000000,Primary,B00726950,B00079082,lynchj,Fall 2020,S85281,10,22740,2020-08-18 00:00:00,,
,2020-03-13 15:42:24.700000000,Primary,B00751798,B00614425,veillettem,Fall 2020,S85129,10,22743,2020-08-18 00:00:00,,
,2020-03-13 16:06:21.580000000,Primary,B00725946,B00079082,lynchj,Fall 2020,S84215,15,22744,2020-08-18 00:00:00,,
,2020-03-13 16:18:24.837000000,Primary,B00753050,B00079082,lynchj,Fall 2020,S85280,10,22747,2020-08-18 00:00:00,,
,2020-04-02 08:48:15.410000000,Primary,B00757098,B00350564,Gosneyj,Summer 2020,S45306,40,23132,2020-06-23 00:00:00,,
,2020-04-02 08:48:59.523000000,Primary,B00720347,B00350564,Gosneyj,Summer 2020,S45306,40,23133,2020-06-23 00:00:00,,
,2020-04-02 08:50:04.040000000,Primary,B00752184,B00350564,Gosneyj,Summer 2020,S45306,40,23134,2020-06-23 00:00:00,,
,2020-04-02 08:50:49.183000000,Primary,B00751072,B00350564,Gosneyj,Summer 2020,S45306,40,23135,2020-06-23 00:00:00,,
,2020-04-02 08:51:33.710000000,Primary,B00732129,B00350564,Gosneyj,Summer 2020,S45306,40,23136,2020-06-23 00:00:00,,
,2020-04-02 08:52:18.410000000,Primary,B00746722,B00350564,Gosneyj,Summer 2020,S45306,40,23137,2020-06-23 00:00:00,,
,2020-04-02 08:53:12.097000000,Primary,B00750250,B00350564,Gosneyj,Summer 2020,S45306,40,23138,2020-06-23 00:00:00,,
,2020-04-02 08:54:13.203000000,Primary,B00723891,B00350564,Gosneyj,Summer 2020,S64108,80,23139,2020-05-04 00:00:00,,
,2020-04-02 08:55:58.773000000,Primary,B00717448,B00350564,Gosneyj,Summer 2020,S61223,160,23141,2020-05-04 00:00:00,,
,2020-04-02 08:56:44.450000000,Primary,B00755530,B00350564,Gosneyj,Summer 2020,S61223,265,23142,2020-05-04 00:00:00,,position not on list -AB
,2020-04-02 11:31:16.240000000,Primary,B00744103,B00761207,raberb,Fall 2020,S61334,10,23151,2020-08-18 00:00:00,,Remote Work Request BLA
,2020-04-02 11:31:20.757000000,Primary,B00753775,B00124850,arrittm,Fall 2020,S23206,15,23152,2020-08-18 00:00:00,,
,2020-04-02 11:31:47.397000000,Primary,B00745125,B00761207,raberb,Fall 2020,S61334,10,23153,2020-08-18 00:00:00,,
,2020-04-02 11:31:52.263000000,Primary,B00745545,B00302621,linvillek,Fall 2020,S17218,10,23154,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-02 11:32:29.723000000,Primary,B00753705,B00761207,raberb,Fall 2020,S61334,10,23156,2020-08-18 00:00:00,,Remote Work Request BLA
,2020-04-02 11:32:33.440000000,Primary,B00747255,B00124850,arrittm,Fall 2020,S23206,15,23157,2020-08-18 00:00:00,,
,2020-04-02 11:33:13.540000000,Primary,B00739771,B00108098,chapmanc,Fall 2020,S61313,15,23159,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-02 11:34:21.533000000,Primary,B00752449,B00761207,raberb,Fall 2020,S61334,10,23162,2020-08-18 00:00:00,,Remote Work Request BLA
,2020-04-02 11:34:26.907000000,Primary,B00711564,B00717332,belcherkar,Fall 2020,S33301,15,23163,2020-08-18 00:00:00,,
,2020-04-02 11:37:32.927000000,Primary,B00739286,B00718803,dreilingj,Fall 2020,S83162,10,23166,2020-08-18 00:00:00,,
,2020-04-02 11:38:13.947000000,Primary,B00717891,B00718803,dreilingj,Fall 2020,S83161,10,23167,2020-08-18 00:00:00,,
,2020-04-02 11:38:38.513000000,Primary,B00736187,B00680029,gurtatowskij,Summer 2020,S86305,200,23168,2020-06-08 00:00:00,,
,2020-04-02 11:54:48.820000000,Primary,B00721195,B00510551,hochj,Fall 2020,S84207,15,23171,2020-08-18 00:00:00,,
,2020-04-02 12:04:42.287000000,Primary,B00677917,B00717339,turnerst,Fall 2020,S61217,12,23173,2020-08-18 00:00:00,,
,2020-04-02 12:18:15.143000000,Primary,B00721616,B00717339,turnerst,Fall 2020,S61220,15,23176,2020-08-18 00:00:00,,
,2020-04-02 12:28:58.260000000,Primary,B00761204,B00717339,turnerst,Fall 2020,S07179,10,23179,2020-08-18 00:00:00,,
,2020-04-02 12:51:30.153000000,Primary,B00662676,B00728610,bullockl,Fall 2020,S71210,12,23180,2020-08-18 00:00:00,,
,2020-04-02 12:52:31.770000000,Primary,B00758345,B00728610,bullockl,Fall 2020,S71210,12,23181,2020-08-18 00:00:00,,
,2020-04-02 12:55:37.960000000,Primary,B00755590,B00597395,magnerl,Fall 2020,S85296,10,23183,2020-08-18 00:00:00,,
,2020-04-02 12:56:52.830000000,Primary,B00730645,B00597395,magnerl,Fall 2020,S85297,10,23184,2020-08-18 00:00:00,,
,2020-04-02 12:57:24.500000000,Primary,B00744569,B00728610,bullockl,Fall 2020,S51222,10,23185,2020-08-18 00:00:00,,
,2020-04-02 12:57:33.350000000,Primary,B00735841,B00597395,magnerl,Fall 2020,S85297,10,23186,2020-08-18 00:00:00,,
,2020-04-02 12:59:02.050000000,Primary,B00735346,B00571917,magnerl,Fall 2020,S85297,10,23188,2020-08-18 00:00:00,,
,2020-04-02 13:05:10.453000000,Primary,B00744750,B00597395,magnerl,Fall 2020,S85296,12,23196,2020-08-18 00:00:00,,
,2020-04-02 14:09:01.853000000,Primary,B00720160,B00351116,wiggsp,Fall 2020,S09501,15,23199,2020-08-18 00:00:00,,
,2020-04-02 14:12:21.390000000,Primary,B00735276,B00351116,wiggsp,Fall 2020,S09405,12,23202,2020-08-18 00:00:00,,
,2020-04-02 14:15:56.337000000,Primary,B00680155,B00351116,wiggsp,Fall 2020,S09234,10,23204,2020-08-18 00:00:00,,
,2020-04-02 14:17:15.223000000,Primary,B00752530,B00351116,wiggsp,Fall 2020,S09120,12,23205,2020-08-18 00:00:00,,
,2020-04-02 14:18:08.753000000,Primary,B00738500,B00351116,wiggsp,Fall 2020,S09120,10,23206,2020-08-18 00:00:00,,
,2020-04-02 14:19:10.683000000,Primary,B00745641,B00351116,wiggsp,Fall 2020,S09120,10,23207,2020-08-18 00:00:00,,
,2020-04-02 14:34:09.923000000,Primary,B00736869,B00336842,nicholsa,Fall 2020,S87109,10,23209,2020-08-18 00:00:00,,
,2020-04-02 14:34:45.437000000,Primary,B00726958,B00336842,nicholsa,Fall 2020,S87109,10,23210,2020-08-18 00:00:00,,
,2020-04-02 14:35:52.343000000,Primary,B00739250,B00336842,nicholsa,Fall 2020,S87109,10,23212,2020-08-18 00:00:00,,
,2020-04-02 14:37:30.270000000,Primary,B00750250,B00336842,nicholsa,Fall 2020,S87109,10,23213,2020-08-18 00:00:00,,
,2020-04-02 14:38:53.690000000,Primary,B00719284,B00336842,nicholsa,Fall 2020,S19203,12,23215,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-02 14:39:21.343000000,Primary,B00721662,B00336842,nicholsa,Fall 2020,S87109,12,23216,2020-08-18 00:00:00,,
,2020-04-02 14:40:32.540000000,Primary,B00712360,B00336842,nicholsa,Fall 2020,S83209,15,23217,2020-08-18 00:00:00,,remote pending AB
,2020-04-02 14:43:07.873000000,Primary,B00721979,B00336842,nicholsa,Fall 2020,S19203,15,23218,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-02 14:43:39.863000000,Primary,B00743137,B00336842,nicholsa,Fall 2020,S19203,15,23219,2020-08-18 00:00:00,,
,2020-04-02 15:40:41.843000000,Primary,B00724671,B00680029,gurtatowskij,Fall 2020,S45118,10,23221,2020-08-18 00:00:00,,Remote pending - sw

,2020-04-02 15:42:13,Primary,B00736187,B00680029,gurtatowskij,Fall 2020,S86305,10,23222,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-02 15:42:27.080000000,Primary,B00744019,B00517316,meyerj,Fall 2020,S09415,15,23223,2020-08-18 00:00:00,,
,2020-04-02 15:43:37.650000000,Primary,B00752115,B00680029,gurtatowskij,Fall 2020,S86305,15,23224,2020-08-18 00:00:00,,
,2020-04-02 16:20:34.470000000,Primary,B00720371,B00517316,meyerj,Fall 2020,S09414,10,23227,2020-08-18 00:00:00,,
,2020-04-02 16:22:04.473000000,Primary,B00744641,B00517316,meyerj,Fall 2020,S09414,12,23228,2020-08-18 00:00:00,,
,2020-04-02 16:23:46.833000000,Primary,B00735599,B00517316,meyerj,Fall 2020,S09414,15,23229,2020-08-18 00:00:00,,
,2020-04-02 16:29:46.627000000,Primary,B00721984,B00040700,hochj,Fall 2020,S84207,10,23231,2020-08-18 00:00:00,,Remote Work Request
,2020-04-02 16:34:27.103000000,Primary,B00759127,B00620057,adamse,Fall 2020,S79107,15,23232,2020-08-18 00:00:00,,
,2020-04-02 16:36:39.983000000,Primary,B00744099,B00620057,adamse,Fall 2020,S15154,10,23233,2020-08-18 00:00:00,,
,2020-04-02 21:55:36.187000000,Primary,B00740038,B00397367,gergenj,Fall 2020,S35136,10,23235,2020-08-18 00:00:00,,
B00397367,2020-04-02 22:06:30.897000000,Primary,B00723912,B00397367,gergenj,Fall 2020,S35129,10,23237,2020-08-18 00:00:00,,
,2020-04-02 22:08:12.843000000,Primary,B00721661,B00397367,gergenj,Fall 2020,S35130,10,23238,2020-08-18 00:00:00,,
,2020-04-02 22:19:39.690000000,Primary,B00756818,B00397367,gergenj,Fall 2020,S35129,10,23244,2020-08-18 00:00:00,,
,2020-04-03 08:58:40.470000000,Primary,B00759110,B00517316,meyerj,Fall 2020,S09110,10,23245,2020-08-18 00:00:00,,
,2020-04-03 09:37:50.143000000,Primary,B00713277,B00320948,wheatr,Fall 2020,S87100,10,23247,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 09:39:18.033000000,Primary,B00753118,B00320948,wheatr,Fall 2020,S87100,10,23248,2020-08-18 00:00:00,,
B00687855,2020-04-03 09:43:46.840000000,Secondary,B00759107,B00320948,wheatr,Fall 2020,S03316,5,23249,2020-08-18 00:00:00,,
,2020-04-03 10:03:26.733000000,Primary,B00718157,B00225542,cooperm,Fall 2020,S09308,10,23251,2020-08-18 00:00:00,,
,2020-04-03 10:05:16.357000000,Primary,B00720439,B00225542,cooperm,Fall 2020,S09308,10,23253,2020-08-18 00:00:00,,
,2020-04-03 10:47:56.443000000,Primary,B00751140,B00388022,schillh,Fall 2020,S51924,10,23258,2020-08-18 00:00:00,,
,2020-04-03 14:59:24.177000000,Primary,B00752892,B00079082,lynchj,Fall 2020,S85280,10,23267,2020-08-18 00:00:00,,
,2020-04-03 15:22:47.150000000,Primary,B00728665,B00660111,grzimekv,Fall 2020,S83215,10,23269,2020-08-18 00:00:00,,
,2020-04-03 15:26:10.270000000,Primary,B00725405,B00660111,grzimekv,Fall 2020,S83215,10,23272,2020-08-18 00:00:00,,
,2020-04-03 15:28:23.847000000,Primary,B00723891,B00660111,grzimekv,Fall 2020,S83216,15,23274,2020-08-18 00:00:00,,
,2020-04-03 15:29:23.823000000,Primary,B00721170,B00660111,grzimekv,Fall 2020,S83216,15,23275,2020-08-18 00:00:00,,Remote Work Request
,2020-04-03 16:51:08.387000000,Primary,B00726056,B00714396,hochj,Fall 2020,S84207,10,23276,2020-08-18 00:00:00,,
,2020-04-03 21:33:04.773000000,Primary,B00700650,B00298895,shupea,Fall 2020,S15230,10,23277,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 21:33:45.220000000,Primary,B00709183,B00298895,shupea,Fall 2020,S05214,10,23278,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 21:34:22.983000000,Primary,B00743294,B00298895,shupea,Fall 2020,S05214,10,23279,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 21:34:56.433000000,Primary,B00751247,B00298895,shupea,Fall 2020,S05213,10,23280,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 21:38:10.477000000,Primary,B00656979,B00298895,shupea,Fall 2020,S15003,10,23283,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:43:47.353000000,Primary,B00732112,B00625939,shupea,Fall 2020,S07429,10,23288,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:45:11.463000000,Primary,B00751464,B00625939,shupea,Fall 2020,S31201,10,23289,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:45:46.453000000,Primary,B00736223,B00625939,shupea,Fall 2020,S31201,10,23290,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:47:09.947000000,Primary,B00743891,B00625939,shupea,Fall 2020,S31201,10,23291,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:47:47.590000000,Primary,B00715613,B00625939,shupea,Fall 2020,S31201,10,23292,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:48:20.697000000,Primary,B00744995,B00625939,shupea,Fall 2020,S31102,10,23293,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:48:55.317000000,Primary,B00751233,B00625939,shupea,Fall 2020,S31102,10,23294,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:57:46.223000000,Primary,B00730420,B00346520,shupea,Fall 2020,S57307,15,23295,2020-08-18 00:00:00,,remote pending AB
,2020-04-03 21:58:28.210000000,Primary,B00735052,B00625939,shupea,Fall 2020,S31301,15,23296,2020-08-18 00:00:00,,Remote pending AB
,2020-04-03 21:59:10.163000000,Primary,B00738704,B00346520,shupea,Fall 2020,S83407,10,23297,2020-08-18 00:00:00,,Remote Work Request
,2020-04-03 22:00:19.837000000,Primary,B00750865,B00346520,shupea,Fall 2020,S47229,10,23298,2020-08-18 00:00:00,,Remote Work Request
,2020-04-03 22:00:54.467000000,Primary,B00746484,B00346520,shupea,Fall 2020,S47229,10,23299,2020-08-18 00:00:00,,Remote Work Request
,2020-04-03 22:05:48.670000000,Primary,B00725790,B00346520,shupea,Fall 2020,S05221,10,23300,2020-08-18 00:00:00,,Remote Work Request
Remote pending - sw
B00298895,2020-04-03 22:06:37.633000000,Secondary,B00709183,B00346520,shupea,Fall 2020,S85354,5,23301,2020-08-18 00:00:00,,remote pending -AB
B00346520,2020-04-03 22:07:19.193000000,Secondary,B00725790,B00298895,shupea,Fall 2020,S05214,5,23302,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 22:08:15.260000000,Primary,B00724971,B00637062,shupea,Fall 2020,S85354,10,23303,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 22:08:58.750000000,Primary,B00737539,B00637062,shupea,Fall 2020,S85354,10,23304,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 22:09:36.890000000,Primary,B00739002,B00298895,shupea,Fall 2020,S05220,10,23305,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 22:10:11.570000000,Primary,B00751520,B00298895,shupea,Fall 2020,S07287,10,23306,2020-08-18 00:00:00,,Remote pending - sw
B00680771,2020-04-03 22:11:03.473000000,Secondary,B00730645,B00298895,shupea,Fall 2020,S05213,5,23307,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-03 22:29:35.520000000,Primary,B00728780,B00625939,shupea,Fall 2020,S07430,12,23308,2020-08-18 00:00:00,,remote pending AB
,2020-04-06 10:28:26,Primary,B00759933,B00711541,harshmane,Summer 2020,S07174,280,23317,2020-05-04 00:00:00,,
,2020-04-06 10:55:24.183000000,Primary,B00744042,B00717339,turnerst,Fall 2020,S61217,12,23318,2020-08-18 00:00:00,,
,2020-04-06 11:08:56.527000000,Primary,B00659531,B00529148,hookera,Summer 2020,S57320,160,23320,2020-05-04 00:00:00,,
,2020-04-06 16:08:48,Primary,B00755520,B00397367,gergenj,Fall 2020,S35128,10,23328,2020-08-18 00:00:00,,
,2020-04-06 16:13:16.903000000,Primary,B00753378,B00397367,gergenj,Fall 2020,S35128,10,23330,2020-08-18 00:00:00,,
,2020-04-06 16:18:07.803000000,Primary,B00715996,B00397367,gergenj,Summer 2020,S35132,20,23331,2020-05-04 00:00:00,,
,2020-04-06 16:23:18.730000000,Primary,B00709224,B00397367,gergenj,Summer 2020,S35128,30,23333,2020-05-04 00:00:00,,
,2020-04-06 16:26:23.623000000,Primary,B00735391,B00397367,gergenj,Summer 2020,S35129,30,23334,2020-06-08 00:00:00,,
,2020-04-06 16:28:18.170000000,Primary,B00721661,B00397367,gergenj,Summer 2020,S35130,40,23335,2020-05-04 00:00:00,,
,2020-04-06 16:30:02.033000000,Primary,B00723912,B00397367,gergenj,Summer 2020,S35130,30,23336,2020-05-04 00:00:00,,
,2020-04-07 09:39:35.317000000,Primary,B00742988,B00711541,harshmane,Fall 2020,S15204,10,23343,2020-08-18 00:00:00,,
,2020-04-07 09:41:32,Primary,B00735127,B00711541,harshmane,Fall 2020,S41202,10,23345,2020-08-18 00:00:00,,
,2020-04-07 09:43:55.373000000,Primary,B00758046,B00711541,harshmane,Fall 2020,S41202,10,23348,2020-08-18 00:00:00,,
,2020-04-07 10:08:39.337000000,Primary,B00726464,B00415901,williamsc,Fall 2020,S85308,10,23351,2020-08-18 00:00:00,,Remote Work Request
Remote pending - sw
,2020-04-07 10:57:48.757000000,Primary,B00709158,B00758249,Harrisa2,Summer 2020,S55159,12,23354,2020-05-04 00:00:00,,
,2020-04-07 10:59:28.943000000,Primary,B00736606,B00758249,Harrisa2,Summer 2020,S55158,12,23355,2020-05-04 00:00:00,,
,2020-04-07 11:02:10.257000000,Primary,B00756944,B00758249,Harrisa2,Fall 2020,S55158,12,23356,2020-08-18 00:00:00,,
,2020-04-07 11:28:20.670000000,Primary,B00715882,B00326702,kaylorl,Fall 2020,S59319,15,23360,2020-08-18 00:00:00,,Remote pending - sw
,2020-04-07 11:38:09.610000000,Primary,B00723510,B00716265,williamsc,Fall 2020,S85308,10,23361,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 11:39:37.113000000,Primary,B00726753,B00743737,williamsc,Fall 2020,S85308,10,23363,2020-08-18 00:00:00,,Remote Work Request
,2020-04-07 12:41:23.707000000,Primary,B00727842,B00712966,lyonss,Fall 2020,S43311,15,23364,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 12:42:33.183000000,Primary,B00751116,B00712966,lyonss,Fall 2020,S87125,10,23365,2020-08-18 00:00:00,,
,2020-04-07 12:43:41.673000000,Primary,B00730970,B00712966,lyonss,Fall 2020,S87131,10,23366,2020-08-18 00:00:00,,remote pending -AB
,2020-04-07 12:45:59.030000000,Primary,B00745899,B00712966,lyonss,Fall 2020,S87125,10,23368,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 12:47:09.990000000,Primary,B00716520,B00076682,lyonss,Fall 2020,S43313,15,23369,2020-08-18 00:00:00,,
,2020-04-07 12:50:04.710000000,Primary,B00721308,B00076682,lyonss,Fall 2020,S41217,10,23370,2020-08-18 00:00:00,,remote pending Ab
,2020-04-07 12:50:51.407000000,Primary,B00726911,B00076682,lyonss,Fall 2020,S41217,10,23371,2020-08-18 00:00:00,,
,2020-04-07 12:51:53.263000000,Primary,B00753747,B00076682,lyonss,Fall 2020,S41216,10,23372,2020-08-18 00:00:00,,
,2020-04-07 12:52:50.457000000,Primary,B00744448,B00076682,lyonss,Fall 2020,S41216,10,23373,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 12:54:14.130000000,Primary,B00752117,B00076682,lyonss,Fall 2020,S41216,10,23374,2020-08-18 00:00:00,,
,2020-04-07 12:55:20.417000000,Primary,B00720246,B00712966,lyonss,Fall 2020,S43302,15,23375,2020-08-18 00:00:00,,
,2020-04-07 12:56:14.313000000,Primary,B00719354,B00712966,lyonss,Fall 2020,S17214,10,23376,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 12:56:59.380000000,Primary,B00759131,B00712966,lyonss,Fall 2020,S17213,10,23377,2020-08-18 00:00:00,,
,2020-04-07 12:58:07.067000000,Primary,B00724868,B00712966,lyonss,Fall 2020,S43308,15,23378,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 12:59:04.943000000,Primary,B00723487,B00712966,lyonss,Fall 2020,S41218,10,23379,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 13:01:49.600000000,Primary,B00722547,B00712966,lyonss,Fall 2020,S41218,10,23381,2020-08-18 00:00:00,,
,2020-04-07 13:24:52.680000000,Primary,B00751122,B00712966,lyonss,Fall 2020,S41211,10,23383,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 13:25:47.353000000,Primary,B00750058,B00712966,lyonss,Fall 2020,S41211,10,23384,2020-08-18 00:00:00,,remote pending AB
,2020-04-07 13:28:44.577000000,Primary,B00744032,B00275624,lyonss,Fall 2020,S43319,10,23386,2020-08-18 00:00:00,,
,2020-04-07 13:29:41.220000000,Primary,B00722397,B00275624,lyonss,Fall 2020,S85505,15,23387,2020-08-18 00:00:00,,remote pending (paige) AB
,2020-04-07 13:33:12.630000000,Primary,B00741362,B00712966,lyonss,Fall 2020,S41214,10,23390,2020-08-18 00:00:00,,
,2020-04-07 13:34:22.157000000,Primary,B00731896,B00712966,lyonss,Fall 2020,S41215,10,23391,2020-08-18 00:00:00,,
,2020-04-07 13:36:00.077000000,Primary,B00755971,B00076682,lyonss,Fall 2020,S47323,10,23392,2020-08-18 00:00:00,,remote request submitted -AB
